Order ID,Date,Product,Category,Price,Age,Provence,Customer ID,Quantity
12,2022-12-08,PAX,Wardrobes,1940.0,80,Oost-Vlaanderen,834,7
12,2022-12-08,MALMSTA,Tables & desks,595.0,80,Oost-Vlaanderen,834,5
12,2022-12-08,TOSTERÖ,Outdoor furniture,79.0,80,Oost-Vlaanderen,834,9
13,2022-05-02,GRÖNLID,Sofas & armchairs,8900.0,69,Limburg,771,3
13,2022-05-02,JANINGE,Chairs,595.0,69,Limburg,771,6
13,2022-05-02,LINNMON / GODVIN,Tables & desks,376.0,69,Limburg,771,2
14,2022-03-31,ANTILOP,Nursery furniture,110.0,91,Antwerpen,558,5
15,2022-06-27,NORDLI,Chests of drawers & drawer units,1540.0,92,Luik,249,7
15,2022-06-27,TROFAST,Children's furniture,165.0,92,Luik,249,5
15,2022-06-27,MALM,Beds,1595.0,92,Luik,249,10
16,2022-06-29,HÄLLAN,Cabinets & cupboards,325.0,52,Henegouwen,417,1
16,2022-06-29,POÄNG,Chairs,179.0,52,Henegouwen,417,10
16,2022-06-29,BINGSTA,Chairs,695.0,52,Henegouwen,417,9
16,2022-06-29,MASTHOLMEN,Outdoor furniture,984.0,52,Henegouwen,417,6
16,2022-06-29,SUNDVIK,Nursery furniture,1095.0,52,Henegouwen,417,1
17,2022-08-27,IVAR,Bookcases & shelving units,1110.0,62,Henegouwen,797,10
17,2022-08-27,TORSBY / LEIFARNE,Chairs,1675.0,62,Henegouwen,797,10
17,2022-08-27,PAX,Wardrobes,800.0,62,Henegouwen,797,6
17,2022-08-27,VITTSJÖ,Bookcases & shelving units,225.0,62,Henegouwen,797,2
17,2022-08-27,MALM,Beds,945.0,62,Henegouwen,797,1
18,2022-10-04,KOLBJÖRN,Bookcases & shelving units,345.0,68,Waals-Brabant,232,1
18,2022-10-04,SÖDERHAMN,Sofas & armchairs,250.0,68,Waals-Brabant,232,5
19,2022-11-20,ARKELSTORP,Tables & desks,945.0,18,Luxemburg,482,3
19,2022-11-20,YPPERLIG,Tables & desks,245.0,18,Luxemburg,482,5
19,2022-11-20,BRÅTHULT,Sofas & armchairs,250.0,18,Luxemburg,482,9
19,2022-11-20,MÖRBYLÅNGA / TOSSBERG,Tables & desks,5465.0,18,Luxemburg,482,3
20,2022-02-19,LÖVA,Beds,55.0,97,Oost-Vlaanderen,108,6
20,2022-02-19,BRIMNES,Cabinets & cupboards,445.0,97,Oost-Vlaanderen,108,5
21,2023-01-02,IVAR,Bookcases & shelving units,245.0,98,Luik,243,2
22,2022-05-28,GRÖNLID,Sofas & armchairs,2100.0,98,Vlaams-Brabant,869,9
22,2022-05-28,IVAR,Bookcases & shelving units,75.0,98,Vlaams-Brabant,869,9
22,2022-05-28,EKEDALEN,Bar furniture,345.0,98,Vlaams-Brabant,869,2
22,2022-05-28,LAUVIK,Beds,2902.0,98,Vlaams-Brabant,869,7
22,2022-05-28,BILLSBRO,TV & media furniture,15.0,98,Vlaams-Brabant,869,1
23,2022-05-17,BEKANT,Tables & desks,725.0,52,Waals-Brabant,803,10
23,2022-05-17,BUSUNGE,Children's furniture,645.0,52,Waals-Brabant,803,5
23,2022-05-17,NORDLI,Beds,695.0,52,Waals-Brabant,803,7
23,2022-05-17,LÅNGFJÄLL,Chairs,695.0,52,Waals-Brabant,803,8
24,2023-02-12,FÖRSIKTIG,Chairs,15.0,66,West-Vlaanderen,249,9
24,2023-02-12,TROFAST,Nursery furniture,5.0,66,West-Vlaanderen,249,5
24,2023-02-12,MASTHOLMEN,Outdoor furniture,984.0,66,West-Vlaanderen,249,4
24,2023-02-12,BESTÅ,Cabinets & cupboards,25.0,66,West-Vlaanderen,249,4
25,2022-09-16,VANGSTA / TEODORES,Chairs,925.0,92,Waals-Brabant,921,8
25,2022-09-16,HÄLLAN,Cabinets & cupboards,325.0,92,Waals-Brabant,921,8
25,2022-09-16,NYHAMN,Beds,450.0,92,Waals-Brabant,921,1
25,2022-09-16,BRIMNES,Tables & desks,155.0,92,Waals-Brabant,921,10
25,2022-09-16,JONAXEL,Bookcases & shelving units,630.0,92,Waals-Brabant,921,8
26,2022-11-15,STOCKHOLM 2017,Sofas & armchairs,5436.0,89,Namen,584,6
27,2022-08-08,BESTÅ BURS,Tables & desks,895.0,54,Henegouwen,981,7
28,2023-01-10,FRANKLIN,Bar furniture,149.0,58,Namen,323,3
28,2023-01-10,EMTEN,Sofas & armchairs,39.0,58,Namen,323,9
28,2023-01-10,MELLTORP / TEODORES,Tables & desks,249.0,58,Namen,323,9
28,2023-01-10,KOLBJÖRN,Bookcases & shelving units,570.0,58,Namen,323,5
29,2022-10-24,DALSHULT,Tables & desks,575.0,26,Limburg,238,4
29,2022-10-24,LINNMON / LALLE,Tables & desks,385.0,26,Limburg,238,3
29,2022-10-24,SOLLERÖN,Outdoor furniture,3206.0,26,Limburg,238,8
29,2022-10-24,IVAR,Bookcases & shelving units,345.0,26,Limburg,238,6
29,2022-10-24,JONAXEL,Bookcases & shelving units,140.0,26,Limburg,238,3
30,2022-10-26,TORSBY / VOLFGANG,Chairs,2395.0,42,Henegouwen,977,5
30,2022-10-26,NORRÅKER / NORRARYD,Tables & desks,1636.0,42,Henegouwen,977,10
30,2022-10-26,INGOLF,Chairs,195.0,42,Henegouwen,977,5
30,2022-10-26,LEIFARNE,Chairs,195.0,42,Henegouwen,977,1
30,2022-10-26,TÄRNÖ,Outdoor furniture,199.0,42,Henegouwen,977,6
31,2023-01-29,DALFRED,Bar furniture,195.0,49,Limburg,228,7
31,2023-01-29,ASKHOLMEN,Outdoor furniture,771.0,49,Limburg,228,7
31,2023-01-29,BROR,Bookcases & shelving units,1340.0,49,Limburg,228,2
31,2023-01-29,GALANT,Bookcases & shelving units,395.0,49,Limburg,228,9
31,2023-01-29,EKTORP,Sofas & armchairs,695.0,49,Limburg,228,4
32,2022-04-01,SINDVIK,TV & media furniture,125.0,71,Henegouwen,332,5
32,2022-04-01,BESTÅ,Bookcases & shelving units,150.0,71,Henegouwen,332,3
32,2022-04-01,VIMLE,Sofas & armchairs,1280.0,71,Henegouwen,332,8
33,2022-10-17,LALLE,Tables & desks,75.0,77,Oost-Vlaanderen,352,8
33,2022-10-17,PAX,Wardrobes,2320.0,77,Oost-Vlaanderen,352,9
34,2022-06-28,NORDVIKEN / RÖNNINGE,Chairs,2875.0,97,Luxemburg,439,1
34,2022-06-28,LÅNGFJÄLL,Chairs,695.0,97,Luxemburg,439,10
34,2022-06-28,SKRUVSTA,Chairs,545.0,97,Luxemburg,439,7
35,2022-12-19,MELLTORP / MARIUS,Tables & desks,149.0,100,Namen,579,7
36,2022-08-01,FLOTTEBO,Beds,2236.0,54,Vlaams-Brabant,814,2
36,2022-08-01,LIDHULT,Beds,5553.0,54,Vlaams-Brabant,814,6
37,2022-11-05,PAX / MEHAMN,Wardrobes,2975.0,28,Henegouwen,342,9
37,2022-11-05,BORTBERG,Chairs,49.0,28,Henegouwen,342,6
37,2022-11-05,BEKANT,Cabinets & cupboards,944.0,28,Henegouwen,342,1
38,2022-09-05,SVENARNE,Chairs,795.0,51,Luxemburg,960,5
39,2022-09-30,KOLBJÖRN,Bookcases & shelving units,345.0,24,Waals-Brabant,606,9
39,2022-09-30,BILLSBRO,TV & media furniture,15.0,24,Waals-Brabant,606,1
39,2022-09-30,BESTÅ,TV & media furniture,1081.0,24,Waals-Brabant,606,5
39,2022-09-30,PAX,Wardrobes,1940.0,24,Waals-Brabant,606,10
40,2022-11-11,ALEX,Tables & desks,200.0,65,Vlaams-Brabant,426,6
40,2022-11-11,ELVARLI,Wardrobes,1226.0,65,Vlaams-Brabant,426,5
40,2022-11-11,SMÅGÖRA,Nursery furniture,495.0,65,Vlaams-Brabant,426,7
40,2022-11-11,SLATTUM,Beds,595.0,65,Vlaams-Brabant,426,10
41,2022-07-04,STUVA / FRITIDS,Wardrobes,425.0,66,Namen,719,6
42,2022-09-03,NORRÅKER / RÖNNINGE,Tables & desks,1085.0,91,Henegouwen,14,9
42,2022-09-03,SOLLERÖN,Outdoor furniture,4783.0,91,Henegouwen,14,1
42,2022-09-03,HILVER,Tables & desks,100.0,91,Henegouwen,14,9
42,2022-09-03,HYLLIS,Bookcases & shelving units,137.0,91,Henegouwen,14,4
42,2022-09-03,EKEDALEN,Tables & desks,795.0,91,Henegouwen,14,4
43,2022-04-29,SÖDERHAMN,Sofas & armchairs,375.0,48,Luxemburg,463,4
43,2022-04-29,HEMNES,Sofas & armchairs,1495.0,48,Luxemburg,463,10
43,2022-04-29,ADDE,Chairs,40.0,48,Luxemburg,463,3
43,2022-04-29,VIMLE,Sofas & armchairs,150.0,48,Luxemburg,463,2
44,2022-07-19,MÖRBYLÅNGA / ODGER,Tables & desks,4265.0,33,Oost-Vlaanderen,200,10
44,2022-07-19,BJÖRKSNÄS,Beds,2040.0,33,Oost-Vlaanderen,200,10
44,2022-07-19,IDÅSEN,Tables & desks,1295.0,33,Oost-Vlaanderen,200,7
45,2022-07-04,JANINGE,Chairs,595.0,28,Oost-Vlaanderen,565,1
45,2022-07-04,NISSE,Chairs,49.0,28,Oost-Vlaanderen,565,2
45,2022-07-04,PAX,Wardrobes,2770.0,28,Oost-Vlaanderen,565,8
45,2022-07-04,TOFTERYD,Tables & desks,795.0,28,Oost-Vlaanderen,565,7
46,2022-04-24,FRANKLIN,Chairs,149.0,34,Waals-Brabant,995,7
46,2022-04-24,HACKÅS,Bookcases & shelving units,17.0,34,Waals-Brabant,995,6
46,2022-04-24,SMÅGÖRA,Nursery furniture,275.0,34,Waals-Brabant,995,5
46,2022-04-24,FLISAT,Children's furniture,349.0,34,Waals-Brabant,995,5
47,2023-01-10,NORDLI,Chests of drawers & drawer units,1880.0,21,West-Vlaanderen,908,2
47,2023-01-10,LIXHULT,Cabinets & cupboards,363.0,21,West-Vlaanderen,908,4
47,2023-01-10,NORDLI,Chests of drawers & drawer units,1080.0,21,West-Vlaanderen,908,7
48,2022-05-30,KUNGSÖ,Outdoor furniture,110.0,29,Henegouwen,152,3
49,2022-11-01,BESTÅ,Cabinets & cupboards,1045.0,98,Henegouwen,471,1
49,2022-11-01,EKOLSUND,Sofas & armchairs,250.0,98,Henegouwen,471,9
49,2022-11-01,BESTÅ,Bookcases & shelving units,25.0,98,Henegouwen,471,4
50,2022-03-18,ELVARLI,Wardrobes,2397.0,80,West-Vlaanderen,812,1
50,2022-03-18,POÄNG,Chairs,179.0,80,West-Vlaanderen,812,5
51,2022-12-16,GRÖNLID,Sofas & armchairs,95.0,78,Antwerpen,401,6
51,2022-12-16,ELVARLI,Wardrobes,650.0,78,Antwerpen,401,1
51,2022-12-16,ARKELSTORP,Tables & desks,945.0,78,Antwerpen,401,9
51,2022-12-16,LANDSKRONA,Sofas & armchairs,8495.0,78,Antwerpen,401,7
51,2022-12-16,NOCKEBY,Sofas & armchairs,645.0,78,Antwerpen,401,3
52,2022-11-10,TORSKLINT,Tables & desks,100.0,93,Luik,770,4
52,2022-11-10,HÄLLAN,Cabinets & cupboards,1750.0,93,Luik,770,3
52,2022-11-10,GRÖNLID,Sofas & armchairs,4800.0,93,Luik,770,9
53,2022-11-05,SANDBACKEN,Sofas & armchairs,1327.0,84,Limburg,607,10
53,2022-11-05,HEMNES,Beds,2085.0,84,Limburg,607,4
53,2022-11-05,IVAR,Bookcases & shelving units,563.0,84,Limburg,607,9
53,2022-11-05,SKUBB,Bookcases & shelving units,49.0,84,Limburg,607,6
53,2022-11-05,PAX,Wardrobes,1940.0,84,Limburg,607,2
54,2022-07-22,SONGESAND,Tables & desks,155.0,61,Vlaams-Brabant,301,1
54,2022-07-22,IVAR,Bookcases & shelving units,1745.0,61,Vlaams-Brabant,301,6
55,2022-09-28,PLATSA,Wardrobes,892.0,70,Antwerpen,359,1
55,2022-09-28,SONGESAND,Chests of drawers & drawer units,495.0,70,Antwerpen,359,8
55,2022-09-28,TYSSEDAL,Tables & desks,925.0,70,Antwerpen,359,8
56,2022-11-09,PAX,Wardrobes,2580.0,18,West-Vlaanderen,219,7
56,2022-11-09,PÅHL,Tables & desks,395.0,18,West-Vlaanderen,219,9
56,2022-11-09,EKEDALEN,Tables & desks,995.0,18,West-Vlaanderen,219,7
56,2022-11-09,VEDBO,Chairs,595.0,18,West-Vlaanderen,219,5
56,2022-11-09,BESTÅ,Cabinets & cupboards,920.0,18,West-Vlaanderen,219,2
57,2022-10-07,LANDSKRONA,Sofas & armchairs,1995.0,18,Vlaams-Brabant,315,5
57,2022-10-07,UTÅKER,Beds,695.0,18,Vlaams-Brabant,315,5
57,2022-10-07,VÄDRA,Nursery furniture,95.0,18,Vlaams-Brabant,315,2
57,2022-10-07,TIMMERVIKEN,Cabinets & cupboards,100.0,18,Vlaams-Brabant,315,7
58,2022-03-29,HAVSTEN,Sofas & armchairs,3120.0,71,West-Vlaanderen,647,9
59,2023-02-02,STENSELE / RÖNNINGE,Café furniture,1140.0,67,Vlaams-Brabant,782,10
59,2023-02-02,HACKÅS,TV & media furniture,17.0,67,Vlaams-Brabant,782,9
59,2023-02-02,VALLENTUNA,Chairs,1468.0,67,Vlaams-Brabant,782,1
59,2023-02-02,EKEDALEN / ODGER,Tables & desks,1975.0,67,Vlaams-Brabant,782,7
59,2023-02-02,IDÅSEN,Cabinets & cupboards,1495.0,67,Vlaams-Brabant,782,9
60,2022-07-12,BESTÅ,TV & media furniture,860.0,33,Antwerpen,771,9
61,2023-02-17,NORDLI,Chests of drawers & drawer units,1060.0,87,Vlaams-Brabant,74,1
61,2023-02-17,FÄRLÖV,Sofas & armchairs,795.0,87,Vlaams-Brabant,74,3
61,2023-02-17,PAX / MEHAMN,Wardrobes,2975.0,87,Vlaams-Brabant,74,1
61,2023-02-17,SVANÖ,Outdoor furniture,495.0,87,Vlaams-Brabant,74,1
61,2023-02-17,DUVHOLMEN,Outdoor furniture,75.0,87,Vlaams-Brabant,74,10
62,2022-11-28,FUSION,Chairs,1196.0,98,Namen,710,4
62,2022-11-28,RYDEBÄCK/BACKARYD / JANINGE,Tables & desks,1395.0,98,Namen,710,5
62,2022-11-28,IVAR,Bookcases & shelving units,39.0,98,Namen,710,2
63,2022-03-26,LAPPVIKEN,Bookcases & shelving units,45.0,46,Vlaams-Brabant,835,9
63,2022-03-26,TROFAST,Children's furniture,245.0,46,Vlaams-Brabant,835,10
63,2022-03-26,GRÖNLID,Sofas & armchairs,850.0,46,Vlaams-Brabant,835,7
63,2022-03-26,PLATSA,Chests of drawers & drawer units,356.0,46,Vlaams-Brabant,835,4
64,2022-08-31,SAGSTUA,Beds,745.0,64,Luik,405,7
64,2022-08-31,SJÄLLAND,Outdoor furniture,180.0,64,Luik,405,7
64,2022-08-31,VIMLE,Sofas & armchairs,100.0,64,Luik,405,8
64,2022-08-31,GRÖNLID,Sofas & armchairs,4545.0,64,Luik,405,9
64,2022-08-31,BAGGANÄS,Bookcases & shelving units,27.0,64,Luik,405,9
65,2022-10-03,HAVSTEN,Outdoor furniture,950.0,39,Luxemburg,535,6
65,2022-10-03,VIMLE,Sofas & armchairs,540.0,39,Luxemburg,535,1
65,2022-10-03,MYDAL,Beds,895.0,39,Luxemburg,535,2
65,2022-10-03,LISABO / JANINGE,Chairs,1595.0,39,Luxemburg,535,6
66,2022-02-26,NORSBORG,Sofas & armchairs,1020.0,26,Waals-Brabant,973,8
66,2022-02-26,INGATORP / INGOLF,Tables & desks,2615.0,26,Waals-Brabant,973,1
67,2022-03-28,DELAKTIG,Sofas & armchairs,2350.0,80,Namen,486,9
67,2022-03-28,KLIMPEN,Tables & desks,1390.0,80,Namen,486,2
68,2022-12-03,EKET,Cabinets & cupboards,125.0,35,Limburg,125,5
68,2022-12-03,FRANKLIN,Bar furniture,129.0,35,Limburg,125,8
68,2022-12-03,GALANT,Cabinets & cupboards,945.0,35,Limburg,125,9
68,2022-12-03,MELLTORP / TEODORES,Chairs,249.0,35,Limburg,125,9
69,2022-03-11,PAX,Wardrobes,1600.0,38,Luxemburg,22,2
69,2022-03-11,HAVSTA,Cabinets & cupboards,1540.0,38,Luxemburg,22,2
69,2022-03-11,CILLA,Chairs,22.0,38,Luxemburg,22,1
69,2022-03-11,NOLMYRA,Chairs,175.0,38,Luxemburg,22,6
69,2022-03-11,MÖCKELBY / HENRIKSDAL,Tables & desks,4265.0,38,Luxemburg,22,6
70,2022-05-23,FLOTTEBO,Tables & desks,80.0,84,Oost-Vlaanderen,847,3
71,2022-03-19,VALLENTUNA,Beds,1848.0,65,Luik,763,8
72,2022-09-11,GRÖNLID,Sofas & armchairs,900.0,75,Luxemburg,892,1
72,2022-09-11,HAVSTA,Cabinets & cupboards,4770.0,75,Luxemburg,892,3
72,2022-09-11,HOL,Tables & desks,225.0,75,Luxemburg,892,6
73,2022-12-08,LIATORP,Bookcases & shelving units,3435.0,58,Vlaams-Brabant,221,5
73,2022-12-08,BILLY,Bookcases & shelving units,370.0,58,Vlaams-Brabant,221,3
74,2022-05-19,LINDVED,Tables & desks,85.0,54,Waals-Brabant,551,10
74,2022-05-19,SAKARIAS,Chairs,95.0,54,Waals-Brabant,551,6
75,2022-02-28,BRYGGJA,Cabinets & cupboards,597.0,22,West-Vlaanderen,832,10
75,2022-02-28,HAVSTA,Cabinets & cupboards,1950.0,22,West-Vlaanderen,832,9
75,2022-02-28,SANDBACKEN,Sofas & armchairs,330.0,22,West-Vlaanderen,832,6
75,2022-02-28,GLASHOLM,Tables & desks,345.0,22,West-Vlaanderen,832,8
76,2022-06-27,SANDARED,Sofas & armchairs,345.0,70,Luxemburg,275,9
76,2022-06-27,DELAKTIG,Sofas & armchairs,3275.0,70,Luxemburg,275,2
76,2022-06-27,BEKANT,Tables & desks,1350.0,70,Luxemburg,275,9
76,2022-06-27,GODISHUS,Children's furniture,295.0,70,Luxemburg,275,4
76,2022-06-27,VÄDDÖ,Outdoor furniture,177.0,70,Luxemburg,275,1
77,2022-06-30,PAX,Wardrobes,3500.0,100,Limburg,893,10
77,2022-06-30,ALEX,Chests of drawers & drawer units,345.0,100,Limburg,893,1
77,2022-06-30,SONGESAND,Chests of drawers & drawer units,695.0,100,Limburg,893,6
77,2022-06-30,KRAGSTA,Tables & desks,495.0,100,Limburg,893,9
78,2022-11-06,FRANKLIN,Chairs,149.0,72,Luik,944,6
78,2022-11-06,LAPPLAND,TV & media furniture,695.0,72,Luik,944,3
79,2022-11-08,BESTÅ,Cabinets & cupboards,30.0,91,Vlaams-Brabant,555,6
79,2022-11-08,BYLLAN,Tables & desks,69.0,91,Vlaams-Brabant,555,6
79,2022-11-08,GNEDBY,Bookcases & shelving units,125.0,91,Vlaams-Brabant,555,9
79,2022-11-08,NORDVIKEN / NORRARYD,Tables & desks,2535.0,91,Vlaams-Brabant,555,1
79,2022-11-08,JANINGE,Bar furniture,595.0,91,Vlaams-Brabant,555,8
80,2022-10-15,PLATSA,Wardrobes,3493.0,82,Luik,98,7
80,2022-10-15,HAMMARN,Sofas & armchairs,399.0,82,Luik,98,9
80,2022-10-15,SJÄLLAND,Outdoor furniture,974.0,82,Luik,98,1
80,2022-10-15,IDÅSEN,Cabinets & cupboards,1345.0,82,Luik,98,9
81,2023-02-14,NORRÅKER / RÖNNINGE,Chairs,1085.0,23,Limburg,882,3
81,2023-02-14,NORRÅKER / NORRARYD,Bar furniture,1385.0,23,Limburg,882,8
81,2023-02-14,ASKVOLL,Chests of drawers & drawer units,345.0,23,Limburg,882,5
81,2023-02-14,VISTHUS,Chests of drawers & drawer units,845.0,23,Limburg,882,2
81,2023-02-14,BRORINGE,Chairs,95.0,23,Limburg,882,8
82,2022-11-22,BEKANT,Tables & desks,675.0,63,Vlaams-Brabant,288,4
82,2022-11-22,GRÖNLID,Sofas & armchairs,1400.0,63,Vlaams-Brabant,288,10
82,2022-11-22,PAX / TYSSEDAL,Wardrobes,3190.0,63,Vlaams-Brabant,288,2
83,2022-05-16,ELSEBET,Chairs,39.0,76,Waals-Brabant,871,1
84,2022-09-07,UPPLEVA,Bookcases & shelving units,199.0,86,Oost-Vlaanderen,211,3
84,2022-09-07,BESTÅ,Bookcases & shelving units,2470.0,86,Oost-Vlaanderen,211,9
84,2022-09-07,ÄPPLARÖ,Outdoor furniture,542.0,86,Oost-Vlaanderen,211,2
84,2022-09-07,KALLAX,Bookcases & shelving units,615.0,86,Oost-Vlaanderen,211,10
84,2022-09-07,MAMMUT,Children's furniture,129.0,86,Oost-Vlaanderen,211,2
85,2023-01-11,LÅNGFJÄLL,Chairs,595.0,48,Namen,882,2
86,2023-02-18,STOCKSUND,Sofas & armchairs,100.0,26,Antwerpen,138,5
87,2022-11-14,VALLENTUNA,Sofas & armchairs,4448.0,48,Limburg,131,7
87,2022-11-14,ÄPPLARÖ,Outdoor furniture,2576.0,48,Limburg,131,1
87,2022-11-14,PLATSA,Wardrobes,2800.0,48,Limburg,131,6
87,2022-11-14,SOLLERÖN,Outdoor furniture,4783.0,48,Limburg,131,3
87,2022-11-14,TROFAST,Children's furniture,195.0,48,Limburg,131,3
88,2022-04-12,IDÅSEN,Cabinets & cupboards,1090.0,69,Namen,647,1
89,2022-08-20,PRÄSTHOLM,Outdoor furniture,695.0,82,West-Vlaanderen,849,7
89,2022-08-20,NANNARP,TV & media furniture,40.0,82,West-Vlaanderen,849,5
89,2022-08-20,FANBYN,Chairs,125.0,82,West-Vlaanderen,849,3
90,2022-12-25,LINNMON / LALLE,Tables & desks,385.0,33,Antwerpen,19,9
90,2022-12-25,LIDHULT,Sofas & armchairs,2695.0,33,Antwerpen,19,9
90,2022-12-25,STUVA / FRITIDS,Nursery furniture,995.0,33,Antwerpen,19,2
91,2022-04-21,GRÖNLID,Sofas & armchairs,7400.0,28,Limburg,863,9
91,2022-04-21,LANDSKRONA,Chairs,2500.0,28,Limburg,863,2
91,2022-04-21,LANGUR,Chairs,35.0,28,Limburg,863,1
91,2022-04-21,GAMLARED,Tables & desks,395.0,28,Limburg,863,2
92,2022-12-03,STOCKSUND,Sofas & armchairs,100.0,68,Waals-Brabant,109,10
92,2022-12-03,DELAKTIG,Sofas & armchairs,275.0,68,Waals-Brabant,109,7
92,2022-12-03,FJÄLLBO,Tables & desks,295.0,68,Waals-Brabant,109,9
92,2022-12-03,LANGUR,Nursery furniture,50.0,68,Waals-Brabant,109,9
92,2022-12-03,MOSSARYD,Bookcases & shelving units,29.0,68,Waals-Brabant,109,3
93,2022-02-21,NORDVIKEN / NORDVIKEN,Chairs,2395.0,97,Antwerpen,558,8
94,2022-11-26,NORSBORG,Sofas & armchairs,140.0,32,Antwerpen,903,8
94,2022-11-26,BEKANT,Tables & desks,6028.0,32,Antwerpen,903,2
95,2022-06-10,GRÖNLID,Sofas & armchairs,495.0,75,Namen,958,4
95,2022-06-10,TROFAST,Nursery furniture,350.0,75,Namen,958,7
95,2022-06-10,EKTORP,Sofas & armchairs,1750.0,75,Namen,958,10
95,2022-06-10,KLIMPEN,Bookcases & shelving units,345.0,75,Namen,958,9
95,2022-06-10,NORRÅKER / NORRARYD,Chairs,915.0,75,Namen,958,10
96,2022-11-12,DELAKTIG,Beds,2095.0,74,West-Vlaanderen,179,6
96,2022-11-12,KLACKBERG,Cabinets & cupboards,35.0,74,West-Vlaanderen,179,7
96,2022-11-12,VEDBO / VEDBO,Chairs,5865.0,74,West-Vlaanderen,179,10
97,2022-10-27,JUSTINA,Chairs,19.0,77,Luik,51,10
98,2022-05-26,KLIMPEN,Tables & desks,1540.0,31,Henegouwen,314,6
98,2022-05-26,LINNMON,Tables & desks,225.0,31,Henegouwen,314,5
98,2022-05-26,RIKSVIKEN,Cabinets & cupboards,225.0,31,Henegouwen,314,10
98,2022-05-26,BILLY / OXBERG,Bookcases & shelving units,340.0,31,Henegouwen,314,6
99,2023-01-25,BRÅTHULT,Sofas & armchairs,1176.0,21,Henegouwen,580,3
99,2023-01-25,BESTÅ,TV & media furniture,4260.0,21,Henegouwen,580,1
99,2023-01-25,ÖNSKLIG,Nursery furniture,59.0,21,Henegouwen,580,10
100,2022-07-05,PAX,Wardrobes,3675.0,86,Namen,952,3
100,2022-07-05,HOLMSUND,Sofas & armchairs,2295.0,86,Namen,952,5
100,2022-07-05,SONGESAND,Beds,570.0,86,Namen,952,7
101,2023-02-19,EKEDALEN / EKEDALEN,Tables & desks,2345.0,80,Antwerpen,328,9
101,2023-02-19,VIMLE,Sofas & armchairs,3355.0,80,Antwerpen,328,7
101,2023-02-19,LÅNGFJÄLL,Chairs,645.0,80,Antwerpen,328,9
101,2023-02-19,LIXHULT,Cabinets & cupboards,700.0,80,Antwerpen,328,8
102,2022-06-06,VITTSJÖ,Bookcases & shelving units,554.0,59,West-Vlaanderen,432,8
102,2022-06-06,IVAR,Cabinets & cupboards,345.0,59,West-Vlaanderen,432,10
